 시점 , 자치구 , 발생량 , 재활용 , 재활용-음식물 외 , 재활용-음식물 , 소각 , 매립 , 기타 , 재활용율(음식외) , 재활용율(음식) , 소각율 , 매립율 , 기타율 
" 2,000 ", 서울특별시 ," 11,438 "," 5,148 "," 3,851 "," 1,297 ", 627 ," 5,664 ", - ,34%,11%,5%,50%,0%
" 2,000 ", 종로구 , 439 , 158 , 124 , 34 , 2 , 280 , - ,28%,8%,0%,64%,0%
" 2,000 ", 중구 , 514 , 226 , 131 , 95 , 1 , 287 , - ,26%,18%,0%,56%,0%
" 2,000 ", 용산구 , 346 , 128 , 107 , 21 , 3 , 216 , - ,31%,6%,1%,62%,0%
" 2,000 ", 성동구 , 332 , 117 , 86 , 31 , 7 , 209 , - ,26%,9%,2%,63%,0%
" 2,000 ", 광진구 , 353 , 155 , 113 , 42 , 5 , 193 , - ,32%,12%,1%,55%,0%
" 2,000 ", 동대문구 , 463 , 175 , 122 , 53 , 1 , 287 , - ,26%,11%,0%,62%,0%
" 2,000 ", 중랑구 , 367 , 151 , 107 , 44 , 3 , 213 , - ,29%,12%,1%,58%,0%
" 2,000 ", 성북구 , 449 , 202 , 167 , 35 , 1 , 246 , - ,37%,8%,0%,55%,0%
" 2,000 ", 강북구 , 423 , 240 , 182 , 58 , 1 , 182 , - ,43%,14%,0%,43%,0%
" 2,000 ", 도봉구 , 352 , 205 , 158 , 47 , - , 147 , - ,45%,13%,0%,42%,0%
" 2,000 ", 노원구 , 489 , 233 , 160 , 73 , 245 , 11 , - ,33%,15%,50%,2%,0%
" 2,000 ", 은평구 , 359 , 145 , 116 , 29 , 2 , 212 , - ,32%,8%,0%,59%,0%
" 2,000 ", 서대문구 , 387 , 162 , 133 , 29 , 6 , 220 , - ,34%,7%,1%,57%,0%
" 2,000 ", 마포구 , 438 , 206 , 179 , 27 , 2 , 230 , - ,41%,6%,0%,53%,0%
" 2,000 ", 양천구 , 497 , 247 , 226 , 21 , 235 , 15 , - ,45%,4%,47%,3%,0%
" 2,000 ", 강서구 , 533 , 256 , 215 , 41 , 6 , 271 , - ,40%,8%,1%,51%,0%
" 2,000 ", 구로구 , 352 , 168 , 112 , 56 , 41 , 142 , - ,32%,16%,12%,40%,0%
" 2,000 ", 금천구 , 322 , 163 , 133 , 30 , 6 , 154 , - ,41%,9%,2%,48%,0%
" 2,000 ", 영등포구 , 596 , 218 , 155 , 63 , 1 , 378 , - ,26%,11%,0%,63%,0%
" 2,000 ", 동작구 , 388 , 166 , 126 , 40 , 4 , 218 , - ,32%,10%,1%,56%,0%
" 2,000 ", 관악구 , 449 , 166 , 130 , 36 , 6 , 277 , - ,29%,8%,1%,62%,0%
" 2,000 ", 서초구 , 516 , 219 , 134 , 85 , 6 , 290 , - ,26%,17%,1%,56%,0%
" 2,000 ", 강남구 , 794 , 377 , 207 , 170 , 32 , 385 , - ,26%,21%,4%,48%,0%
" 2,000 ", 송파구 , 814 , 408 , 334 , 74 , 5 , 401 , - ,41%,9%,1%,49%,0%
" 2,000 ", 강동구 , 467 , 259 , 194 , 65 , 6 , 201 , - ,42%,14%,1%,43%,0%
" 2,001 ", 서울특별시 ," 11,968 "," 5,682 "," 3,968 "," 1,714 ", 822 ," 5,464 ", - ,33%,14%,7%,46%,0%
" 2,001 ", 종로구 , 446 , 151 , 91 , 60 , 6 , 289 , - ,20%,13%,1%,65%,0%
" 2,001 ", 중구 , 587 , 282 , 189 , 94 , 1 , 304 , - ,32%,16%,0%,52%,0%
" 2,001 ", 용산구 , 351 , 133 , 97 , 36 , 1 , 217 , - ,28%,10%,0%,62%,0%
" 2,001 ", 성동구 , 344 , 143 , 90 , 52 , 13 , 188 , - ,26%,15%,4%,55%,0%
" 2,001 ", 광진구 , 357 , 133 , 87 , 46 , 6 , 219 , - ,24%,13%,2%,61%,0%
" 2,001 ", 동대문구 , 486 , 190 , 117 , 74 , 1 , 294 , - ,24%,15%,0%,61%,0%
" 2,001 ", 중랑구 , 335 , 126 , 86 , 40 , 3 , 206 , - ,26%,12%,1%,61%,0%
" 2,001 ", 성북구 , 505 , 257 , 187 , 70 , 1 , 247 , - ,37%,14%,0%,49%,0%
" 2,001 ", 강북구 , 429 , 238 , 178 , 60 , 1 , 190 , - ,41%,14%,0%,44%,0%
" 2,001 ", 도봉구 , 298 , 147 , 107 , 40 , - , 151 , - ,36%,13%,0%,51%,0%
" 2,001 ", 노원구 , 484 , 252 , 148 , 104 , 220 , 13 , - ,30%,22%,45%,3%,0%
" 2,001 ", 은평구 , 387 , 172 , 120 , 52 , 3 , 212 , - ,31%,13%,1%,55%,0%
" 2,001 ", 서대문구 , 372 , 138 , 109 , 29 , 4 , 231 , - ,29%,8%,1%,62%,0%
" 2,001 ", 마포구 , 437 , 204 , 161 , 43 , 2 , 231 , - ,37%,10%,1%,53%,0%
" 2,001 ", 양천구 , 582 , 329 , 303 , 26 , 228 , 25 , - ,52%,5%,39%,4%,0%
" 2,001 ", 강서구 , 568 , 287 , 240 , 47 , 11 , 269 , - ,42%,8%,2%,47%,0%
" 2,001 ", 구로구 , 405 , 216 , 143 , 73 , 119 , 71 , - ,35%,18%,29%,17%,0%
" 2,001 ", 금천구 , 365 , 205 , 155 , 50 , 8 , 152 , - ,42%,14%,2%,42%,0%
" 2,001 ", 영등포구 , 628 , 226 , 162 , 64 , 7 , 395 , - ,26%,10%,1%,63%,0%
" 2,001 ", 동작구 , 427 , 185 , 142 , 43 , 2 , 240 , - ,33%,10%,1%,56%,0%
" 2,001 ", 관악구 , 501 , 173 , 134 , 39 , 8 , 320 , - ,27%,8%,2%,64%,0%
" 2,001 ", 서초구 , 521 , 232 , 124 , 107 , 7 , 282 , - ,24%,21%,1%,54%,0%
" 2,001 ", 강남구 , 799 , 511 , 242 , 269 , 159 , 130 , - ,30%,34%,20%,16%,0%
" 2,001 ", 송파구 , 849 , 453 , 335 , 118 , 3 , 393 , - ,39%,14%,0%,46%,0%
" 2,001 ", 강동구 , 506 , 301 , 223 , 79 , 7 , 197 , - ,44%,16%,1%,39%,0%
" 2,002 ", 서울특별시 ," 12,052 "," 5,852 "," 4,094 "," 1,758 ", 775 ," 5,426 ", - ,34%,15%,6%,45%,0%
" 2,002 ", 종로구 , 456 , 179 , 120 , 60 , 6 , 271 , - ,26%,13%,1%,59%,0%
" 2,002 ", 중구 , 550 , 242 , 150 , 92 , 1 , 307 , - ,27%,17%,0%,56%,0%
" 2,002 ", 용산구 , 351 , 138 , 98 , 40 , - , 213 , - ,28%,11%,0%,61%,0%
